term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,revol_bal,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
 60 months,MORTGAGE,B,credit_card,10.72%,AZ,Current,Individual,37000,5 years,85500,18.48,0,59.10%,23417,30,0,null, 60 ,5,59,43.76206961077844,18.48,No
 36 months,MORTGAGE,A,credit_card,7.02%,NH,Current,Individual,13000,10+ years,52707,5.51,1,61.70%,13257,8,1,null, 36 ,10,61,43.76206961077844,5.51,No
 36 months,OWN,A,debt_consolidation,6.46%,AL,Current,Joint App,20000,n/a,45000,31.36,0,8.30%,8523,27,0,19.29, 36 ,,8,43.76206961077844,31.36,No
 60 months,OWN,C,home_improvement,16.91%,CT,Current,Individual,40000,8 years,140000,7.47,2,12%,8768,33,0,null, 60 ,8,12,43.76206961077844,7.47,No
 36 months,RENT,B,credit_card,11.31%,FL,Current,Individual,12000,1 year,72800,10.91,0,24.50%,3459,21,0,null, 36 ,1,24,43.76206961077844,10.91,No
 36 months,RENT,B,credit_card,11.31%,CA,Current,Individual,10000,2 years,40000,6.24,0,64.80%,8557,11,0,null, 36 ,2,64,43.76206961077844,6.24,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,OK,Current,Joint App,40000,n/a,77126.4,27.17,0,83.20%,42179,34,0,18.18, 36 ,,83,43.76206961077844,27.17,No
 36 months,RENT,A,other,8.19%,CA,Current,Individual,4275,< 1 year,225000,13.71,0,0.10%,99,12,0,null, 36 ,1,0,43.76206961077844,13.71,No
 36 months,MORTGAGE,B,debt_consolidation,11.31%,OH,Current,Individual,25000,5 years,70000,6.05,0,45.70%,15178,5,0,null, 36 ,5,45,43.76206961077844,6.05,No
 60 months,MORTGAGE,D,credit_card,17.97%,PA,Current,Individual,25000,10+ years,83000,16.45,0,55.80%,20770,15,0,null, 60 ,10,55,43.76206961077844,16.45,No
 60 months,MORTGAGE,B,credit_card,11.80%,GA,Current,Individual,16000,1 year,105000,23.44,0,66.20%,44865,50,0,null, 60 ,1,66,43.76206961077844,23.44,No
 36 months,MORTGAGE,A,credit_card,8.19%,NJ,Current,Individual,10000,10+ years,108104,16.16,0,32.50%,21207,36,0,null, 36 ,10,32,43.76206961077844,16.16,No
 36 months,RENT,D,debt_consolidation,20.89%,CA,Current,Individual,12000,6 years,38000,7.83,0,66.50%,5718,7,0,null, 36 ,6,66,43.76206961077844,7.83,No
 36 months,MORTGAGE,B,debt_consolidation,11.06%,CA,Current,Individual,10000,10+ years,54000,16.13,0,50.20%,5422,11,0,null, 36 ,10,50,43.76206961077844,16.13,No
 36 months,MORTGAGE,A,debt_consolidation,7.02%,IN,Current,Individual,12000,8 years,105000,35.73,0,13.50%,10312,33,0,null, 36 ,8,13,43.76206961077844,35.73,No
 36 months,MORTGAGE,C,medical,16.91%,CA,Fully Paid,Individual,1000,4 years,76100,24.7,0,50.10%,5461,30,0,null, 36 ,4,50,43.76206961077844,24.7,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,VA,Current,Individual,10000,< 1 year,118000,10.69,0,27.80%,13682,20,0,null, 36 ,1,27,43.76206961077844,10.69,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,OH,Current,Individual,21000,5 years,84000,22.83,0,34.50%,5756,21,0,null, 36 ,5,34,43.76206961077844,22.83,No
 36 months,OWN,B,credit_card,11.80%,FL,Fully Paid,Individual,5000,3 years,70000,29.16,0,0.20%,39,6,0,null, 36 ,3,0,43.76206961077844,29.16,No
 60 months,RENT,D,debt_consolidation,20.89%,NC,Current,Individual,15000,10+ years,48000,17.74,0,86.50%,11680,14,0,null, 60 ,10,86,43.76206961077844,17.74,No
 60 months,MORTGAGE,C,debt_consolidation,14.47%,MN,Current,Individual,20000,10+ years,100000,25.14,0,49.40%,44826,45,0,null, 60 ,10,49,43.76206961077844,25.14,No
 36 months,RENT,A,debt_consolidation,8.81%,OR,Current,Individual,7000,2 years,54000,4.76,0,55.60%,3223,5,0,null, 36 ,2,55,43.76206961077844,4.76,No
 36 months,RENT,A,credit_card,7.21%,NY,Current,Individual,6400,6 years,70000,21.31,0,23.70%,5118,15,0,null, 36 ,6,23,43.76206961077844,21.31,No
 60 months,RENT,B,credit_card,12.98%,NY,Current,Individual,30000,10+ years,102000,11.79,0,40%,30584,31,0,null, 60 ,10,40,43.76206961077844,11.79,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,TX,Current,Individual,20000,9 years,78000,11.98,1,31%,19946,20,0,null, 60 ,9,31,43.76206961077844,11.98,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,FL,Current,Individual,10000,2 years,110000,2.19,0,58.50%,6671,5,0,null, 36 ,2,58,43.76206961077844,2.19,No
 60 months,RENT,B,credit_card,11.80%,NY,Current,Individual,13000,3 years,56000,26.06,1,96%,10469,7,0,null, 60 ,3,96,43.76206961077844,26.06,No
 36 months,MORTGAGE,B,credit_card,10.33%,PA,Current,Individual,10000,1 year,60000,15.62,2,44.30%,10588,20,1,null, 36 ,1,44,43.76206961077844,15.62,No
 36 months,RENT,A,debt_consolidation,8.19%,NY,Current,Individual,2700,6 years,54000,7.84,0,16.10%,3244,18,0,null, 36 ,6,16,43.76206961077844,7.84,No
 36 months,RENT,A,major_purchase,8.81%,IL,Current,Individual,6500,10+ years,50000,29.4,0,6.90%,3952,33,0,null, 36 ,10,6,43.76206961077844,29.4,No
 36 months,MORTGAGE,D,home_improvement,20.89%,AR,Current,Individual,5000,2 years,161000,15.49,0,80.80%,47736,62,0,null, 36 ,2,80,43.76206961077844,15.49,No
 36 months,MORTGAGE,A,credit_card,7.02%,WA,Current,Individual,38250,< 1 year,290000,8.58,0,57.30%,37142,38,0,null, 36 ,1,57,43.76206961077844,8.58,No
 60 months,MORTGAGE,B,credit_card,11.80%,CA,Current,Individual,20500,10+ years,65000,15.36,0,57%,41827,23,0,null, 60 ,10,57,43.76206961077844,15.36,No
 36 months,MORTGAGE,B,debt_consolidation,11.31%,CA,Fully Paid,Individual,12000,5 years,168000,20.2,5,54.50%,28071,48,1,null, 36 ,5,54,43.76206961077844,20.2,No
 60 months,RENT,A,credit_card,8.46%,CT,Current,Individual,15000,1 year,53500,24.67,0,44.40%,20904,22,0,null, 60 ,1,44,43.76206961077844,24.67,No
 60 months,RENT,C,debt_consolidation,13.56%,NY,Current,Joint App,25000,10+ years,30000,2.88,0,66.10%,3304,4,0,10.21, 60 ,10,66,43.76206961077844,2.88,No
 36 months,MORTGAGE,A,credit_card,6.46%,WA,Current,Joint App,8500,6 years,107000,15.13,0,15.80%,9390,10,0,12.67, 36 ,6,15,43.76206961077844,15.13,No
 36 months,MORTGAGE,C,debt_consolidation,14.47%,PA,Current,Individual,20000,10+ years,110000,11.01,0,34.30%,10345,15,0,null, 36 ,10,34,43.76206961077844,11.01,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,IN,Current,Joint App,5000,< 1 year,105000,14.81,4,78.50%,7456,28,0,10.33, 36 ,1,78,43.76206961077844,14.81,No
 36 months,RENT,B,debt_consolidation,10.33%,NY,Current,Individual,10000,3 years,52000,3.14,0,29.40%,5825,7,0,null, 36 ,3,29,43.76206961077844,3.14,No
 60 months,RENT,E,debt_consolidation,25.34%,MD,Current,Individual,25000,3 years,58000,24.75,0,85%,35074,11,0,null, 60 ,3,85,43.76206961077844,24.75,No
 60 months,MORTGAGE,A,debt_consolidation,8.19%,KS,Current,Individual,10000,2 years,30240,27.7,0,55.70%,10578,12,0,null, 60 ,2,55,43.76206961077844,27.7,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,TX,Current,Individual,15000,< 1 year,55000,25.22,0,17.10%,8869,22,0,null, 36 ,1,17,43.76206961077844,25.22,No
 36 months,RENT,A,debt_consolidation,6.46%,TX,Current,Individual,3850,4 years,25000,7.78,0,27.60%,3279,6,0,null, 36 ,4,27,43.76206961077844,7.78,No
 60 months,RENT,C,debt_consolidation,16.91%,IL,Late (31-120 days),Individual,18500,10+ years,75000,12.21,0,4.20%,1017,40,0,null, 60 ,10,4,43.76206961077844,12.21,yes
 36 months,RENT,E,other,26.31%,MO,Current,Individual,5100,10+ years,58000,18.52,1,23.80%,2735,14,0,null, 36 ,10,23,43.76206961077844,18.52,No
 36 months,MORTGAGE,C,debt_consolidation,13.56%,FL,Current,Individual,14000,10+ years,69000,26.82,0,95.30%,18205,16,0,null, 36 ,10,95,43.76206961077844,26.82,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,AR,Current,Joint App,25000,4 years,50000,17.69,0,8.10%,3684,23,0,12.51, 60 ,4,8,43.76206961077844,17.69,No
 60 months,MORTGAGE,B,credit_card,10.72%,NY,Current,Individual,15000,10+ years,90000,22.76,0,20.80%,9010,27,0,null, 60 ,10,20,43.76206961077844,22.76,No
 36 months,OWN,C,debt_consolidation,15.02%,TX,Current,Individual,10000,6 years,60000,14.3,1,19.20%,6673,16,0,null, 36 ,6,19,43.76206961077844,14.3,No
 60 months,MORTGAGE,A,credit_card,7.84%,TX,Current,Individual,25000,10+ years,60000,17.82,0,33.10%,23103,36,0,null, 60 ,10,33,43.76206961077844,17.82,No
 36 months,RENT,B,major_purchase,11.80%,MA,Current,Individual,20000,7 years,55000,31.02,0,56.30%,14698,22,0,null, 36 ,7,56,43.76206961077844,31.02,No
 36 months,OWN,C,debt_consolidation,14.47%,NY,Current,Individual,12700,5 years,45000,12.64,0,89.50%,12712,5,0,null, 36 ,5,89,43.76206961077844,12.64,No
 36 months,RENT,C,debt_consolidation,16.91%,MO,Current,Individual,6000,2 years,35000,20.75,1,2.30%,63,13,0,null, 36 ,2,2,43.76206961077844,20.75,No
 36 months,RENT,B,debt_consolidation,10.33%,TX,Current,Individual,30000,9 years,134000,18.75,0,16.40%,19549,39,0,null, 36 ,9,16,43.76206961077844,18.75,No
 36 months,MORTGAGE,E,debt_consolidation,24.37%,GA,Current,Individual,7200,10+ years,38000,26.34,1,77.50%,12788,14,0,null, 36 ,10,77,43.76206961077844,26.34,No
 60 months,MORTGAGE,C,credit_card,13.56%,MN,Current,Individual,12000,10+ years,66920,16.16,0,47.20%,6707,25,0,null, 60 ,10,47,43.76206961077844,16.16,No
 60 months,MORTGAGE,C,debt_consolidation,15.02%,WI,Current,Individual,25000,10+ years,131500,22.79,0,81.80%,44324,27,0,null, 60 ,10,81,43.76206961077844,22.79,No
 36 months,OWN,A,credit_card,6.46%,MI,Current,Individual,10000,< 1 year,200000,4.8,0,49.60%,19188,22,0,null, 36 ,1,49,43.76206961077844,4.8,No
 60 months,RENT,B,debt_consolidation,11.80%,RI,Current,Individual,15000,10+ years,55000,12.18,0,22.70%,9204,19,0,null, 60 ,10,22,43.76206961077844,12.18,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,MO,Current,Joint App,22500,8 years,78500,44,0,64.30%,7271,13,0,19.48, 60 ,8,64,43.76206961077844,44,No
 36 months,MORTGAGE,C,debt_consolidation,14.47%,VA,Current,Individual,30000,10+ years,119000,13,0,90.30%,22394,25,0,null, 36 ,10,90,43.76206961077844,13,No
 36 months,RENT,B,debt_consolidation,11.80%,CA,Current,Joint App,18000,n/a,55000,1.9,0,32.40%,3204,13,0,13.68, 36 ,,32,43.76206961077844,1.9,No
 36 months,OWN,B,debt_consolidation,12.98%,CA,Current,Joint App,14000,< 1 year,50000,7.99,1,24.40%,8031,22,1,13.32, 36 ,1,24,43.76206961077844,7.99,No
 36 months,RENT,B,credit_card,12.98%,IN,Current,Individual,11000,2 years,65000,16.97,0,95.60%,17678,12,0,null, 36 ,2,95,43.76206961077844,16.97,No
 36 months,RENT,C,debt_consolidation,16.14%,CA,Current,Individual,20000,10+ years,50000,27.29,0,76.70%,19793,13,0,null, 36 ,10,76,43.76206961077844,27.29,No
 60 months,RENT,D,credit_card,20.89%,CA,Current,Individual,35000,10+ years,122000,22.51,1,95.60%,20467,14,0,null, 60 ,10,95,43.76206961077844,22.51,No
 36 months,RENT,C,debt_consolidation,16.14%,DE,Fully Paid,Individual,7500,10+ years,200000,10.03,1,50.80%,6903,33,1,null, 36 ,10,50,43.76206961077844,10.03,No
 36 months,OWN,C,home_improvement,14.47%,FL,Current,Individual,3000,n/a,21000,26.06,0,14.10%,27491,12,0,null, 36 ,,14,43.76206961077844,26.06,No
 60 months,MORTGAGE,C,debt_consolidation,14.47%,TX,Current,Joint App,25000,10+ years,70000,39.19,0,63.70%,20061,18,0,22.49, 60 ,10,63,43.76206961077844,39.19,No
 36 months,MORTGAGE,C,home_improvement,16.91%,FL,Current,Individual,10000,2 years,110000,12.36,0,0.70%,141,21,0,null, 36 ,2,0,43.76206961077844,12.36,No
 36 months,RENT,A,debt_consolidation,7.21%,CO,Current,Individual,30000,8 years,105000,17.35,0,63.60%,31048,15,0,null, 36 ,8,63,43.76206961077844,17.35,No
 60 months,MORTGAGE,C,debt_consolidation,13.56%,CT,Current,Individual,25000,5 years,85000,11.56,0,26.40%,4034,20,0,null, 60 ,5,26,43.76206961077844,11.56,No
 60 months,RENT,D,debt_consolidation,18.94%,VA,Current,Joint App,34000,4 years,210000,9.05,0,98.80%,15613,23,0,11.58, 60 ,4,98,43.76206961077844,9.05,No
 36 months,RENT,C,debt_consolidation,16.14%,NV,Current,Joint App,10000,4 years,72000,34.08,1,60.20%,11853,20,0,21.43, 36 ,4,60,43.76206961077844,34.08,No
 36 months,RENT,C,major_purchase,15.02%,CA,Current,Individual,2000,3 years,92000,7.96,0,32.40%,7771,12,0,null, 36 ,3,32,43.76206961077844,7.96,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,CA,Current,Individual,40000,10+ years,260000,12.8,0,86.50%,44067,30,0,null, 60 ,10,86,43.76206961077844,12.8,No
 36 months,MORTGAGE,D,medical,19.92%,AK,Current,Individual,10225,7 years,120000,8.92,1,79.10%,18028,16,0,null, 36 ,7,79,43.76206961077844,8.92,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,CA,Current,Individual,10000,10+ years,185000,15.44,0,79.80%,26739,23,0,null, 36 ,10,79,43.76206961077844,15.44,No
 36 months,MORTGAGE,B,other,10.33%,CO,Current,Individual,34025,10+ years,71409.48,18.7,0,75.10%,16368,21,0,null, 36 ,10,75,43.76206961077844,18.7,No
 60 months,RENT,D,debt_consolidation,20.89%,CA,Current,Individual,10000,2 years,78000,30.26,0,25.90%,12109,69,0,null, 60 ,2,25,43.76206961077844,30.26,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,WI,Current,Joint App,7200,10+ years,58000,43.76,0,57.50%,8629,41,0,24.17, 36 ,10,57,43.76206961077844,43.76,No
 60 months,MORTGAGE,B,debt_consolidation,10.33%,FL,Current,Individual,28000,1 year,125000,18.5,0,12.20%,3446,52,0,null, 60 ,1,12,43.76206961077844,18.5,No
 36 months,MORTGAGE,B,home_improvement,12.98%,CA,Current,Individual,6000,10+ years,98000,19.97,1,17%,2205,17,0,null, 36 ,10,17,43.76206961077844,19.97,No
 36 months,RENT,A,moving,8.81%,TX,Current,Individual,17000,10+ years,163000,9.98,0,51.60%,17530,31,0,null, 36 ,10,51,43.76206961077844,9.98,No
 36 months,RENT,A,credit_card,6.46%,NY,Current,Individual,7500,10+ years,41000,5.91,0,96.30%,7705,2,0,null, 36 ,10,96,43.76206961077844,5.91,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,AZ,Current,Individual,30000,10+ years,175000,16.67,0,54.40%,17578,21,0,null, 36 ,10,54,43.76206961077844,16.67,No
 36 months,RENT,C,other,14.47%,TX,Current,Individual,1500,10+ years,75000,21.84,0,49.30%,10211,26,0,null, 36 ,10,49,43.76206961077844,21.84,No
 36 months,RENT,A,debt_consolidation,8.19%,OR,Current,Individual,5500,< 1 year,35000,2.02,0,43.40%,1735,6,0,null, 36 ,1,43,43.76206961077844,2.02,No
 36 months,MORTGAGE,C,credit_card,16.91%,TX,Current,Individual,14400,2 years,128800,28.42,0,98.10%,40319,20,0,null, 36 ,2,98,43.76206961077844,28.42,No
 60 months,MORTGAGE,B,credit_card,11.31%,NM,Current,Joint App,40000,10+ years,66000,19.96,0,40.90%,28488,20,0,16.27, 60 ,10,40,43.76206961077844,19.96,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,MO,Current,Individual,16000,< 1 year,85000,18.55,1,72.70%,13889,11,0,null, 36 ,1,72,43.76206961077844,18.55,No
 36 months,RENT,C,debt_consolidation,13.56%,WI,Current,Individual,10000,2 years,40000,7.29,0,36%,7918,14,0,null, 36 ,2,36,43.76206961077844,7.29,No
 36 months,MORTGAGE,D,home_improvement,18.94%,TX,Current,Individual,1200,n/a,52000,22.71,0,71.10%,33133,22,0,null, 36 ,,71,43.76206961077844,22.71,No
 36 months,RENT,A,debt_consolidation,8.46%,NY,Current,Joint App,12000,< 1 year,20000,6.66,0,32.30%,7646,8,0,3.98, 36 ,1,32,43.76206961077844,6.66,No
 60 months,RENT,B,debt_consolidation,11.31%,NV,Current,Individual,15000,2 years,100000,15.17,0,12%,9830,21,0,null, 60 ,2,12,43.76206961077844,15.17,No
 60 months,RENT,C,home_improvement,15.02%,AL,Current,Joint App,20000,5 years,64890,29.72,0,6.70%,1714,14,0,27.07, 60 ,5,6,43.76206961077844,29.72,No
 36 months,MORTGAGE,A,credit_card,6.46%,NY,Current,Individual,10000,6 years,60000,25.56,0,36.50%,6895,17,0,null, 36 ,6,36,43.76206961077844,25.56,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,MN,Current,Individual,25000,10+ years,63000,24.65,0,54.20%,31344,27,0,null, 60 ,10,54,43.76206961077844,24.65,No
 60 months,MORTGAGE,C,debt_consolidation,13.56%,FL,Current,Individual,20000,9 years,93000,18.54,0,29.40%,5495,19,0,null, 60 ,9,29,43.76206961077844,18.54,No
 60 months,RENT,C,debt_consolidation,15.02%,NY,Current,Individual,10000,1 year,87000,11.25,0,45.30%,11048,8,0,null, 60 ,1,45,43.76206961077844,11.25,No
 36 months,RENT,B,other,11.80%,CT,Current,Individual,3000,< 1 year,39000,28,0,15.10%,4535,47,0,null, 36 ,1,15,43.76206961077844,28,No
 60 months,MORTGAGE,E,debt_consolidation,23.40%,NY,In Grace Period,Individual,22500,1 year,50000,35.41,1,47%,31206,35,1,null, 60 ,1,47,43.76206961077844,35.41,yes
 36 months,MORTGAGE,D,debt_consolidation,18.94%,GA,Current,Individual,12000,9 years,63000,29.77,0,39.10%,37541,46,0,null, 36 ,9,39,43.76206961077844,29.77,No
 60 months,RENT,B,debt_consolidation,11.80%,DE,Current,Individual,20000,n/a,60000,31.74,0,15%,4575,29,0,null, 60 ,,15,43.76206961077844,31.74,No
 60 months,MORTGAGE,D,debt_consolidation,20.89%,CA,Current,Individual,15000,1 year,120000,16.53,0,77.70%,14453,43,0,null, 60 ,1,77,43.76206961077844,16.53,No
 36 months,MORTGAGE,B,credit_card,11.31%,TX,Current,Individual,15000,7 years,60000,7.76,0,31%,15733,20,0,null, 36 ,7,31,43.76206961077844,7.76,No
 36 months,RENT,D,credit_card,17.97%,FL,Fully Paid,Individual,28000,< 1 year,70900,24.56,0,95.80%,18865,10,0,null, 36 ,1,95,43.76206961077844,24.56,No
 36 months,RENT,C,debt_consolidation,15.02%,FL,Current,Individual,15000,1 year,51000,36.09,0,34.60%,8053,10,0,null, 36 ,1,34,43.76206961077844,36.09,No
 60 months,RENT,B,credit_card,11.80%,DE,Current,Individual,10000,10+ years,61500,17.62,0,70.40%,6754,13,0,null, 60 ,10,70,43.76206961077844,17.62,No
 36 months,RENT,B,credit_card,10.33%,MA,Current,Individual,11000,1 year,45000,13.89,0,51.10%,10123,6,0,null, 36 ,1,51,43.76206961077844,13.89,No
 36 months,MORTGAGE,A,home_improvement,8.19%,VA,Current,Individual,19600,10+ years,255000,22.17,0,50%,120976,24,0,null, 36 ,10,50,43.76206961077844,22.17,No
 36 months,RENT,A,debt_consolidation,8.81%,MN,Current,Joint App,3600,2 years,75000,31.68,0,33.10%,4566,12,0,14.14, 36 ,2,33,43.76206961077844,31.68,No
 60 months,RENT,E,credit_card,25.34%,NY,Current,Individual,28800,10+ years,84500,26.06,0,41.90%,40651,43,0,null, 60 ,10,41,43.76206961077844,26.06,No
 60 months,RENT,C,credit_card,13.56%,GA,Current,Individual,13000,4 years,125000,16.37,0,49.80%,10708,47,0,null, 60 ,4,49,43.76206961077844,16.37,No
 36 months,OWN,B,credit_card,11.80%,AR,Current,Joint App,12800,n/a,29000,3.64,0,2.90%,130,8,0,19.22, 36 ,,2,43.76206961077844,3.64,No
 60 months,RENT,D,credit_card,19.92%,CA,Current,Individual,18000,3 years,70000,20.71,0,29.80%,9216,12,0,null, 60 ,3,29,43.76206961077844,20.71,No
 36 months,RENT,A,credit_card,6.46%,MN,Current,Individual,6000,3 years,24000,26.45,0,54.60%,7150,24,0,null, 36 ,3,54,43.76206961077844,26.45,No
 60 months,RENT,B,debt_consolidation,11.80%,NJ,Current,Individual,15000,10+ years,62000,5.81,0,23.40%,13527,16,0,null, 60 ,10,23,43.76206961077844,5.81,No
 36 months,RENT,B,credit_card,11.31%,VA,Current,Individual,3000,2 years,28000,21.39,0,13.40%,1918,10,0,null, 36 ,2,13,43.76206961077844,21.39,No
 60 months,OWN,D,debt_consolidation,17.97%,NY,Current,Individual,25000,10+ years,68000,17.31,0,42.60%,4596,20,0,null, 60 ,10,42,43.76206961077844,17.31,No
 36 months,MORTGAGE,B,major_purchase,12.98%,MT,Current,Individual,3000,4 years,135000,27.02,0,77.70%,11342,17,0,null, 36 ,4,77,43.76206961077844,27.02,No
 36 months,MORTGAGE,D,other,19.92%,MD,Current,Individual,5400,3 years,34320,10.21,0,46.70%,4436,15,0,null, 36 ,3,46,43.76206961077844,10.21,No
 36 months,RENT,D,car,20.89%,MO,Current,Individual,6000,8 years,23000,23.12,0,30.30%,5247,22,0,null, 36 ,8,30,43.76206961077844,23.12,No
 60 months,MORTGAGE,D,debt_consolidation,17.97%,FL,Current,Individual,32000,10+ years,70000,28.01,0,23.60%,5481,41,0,null, 60 ,10,23,43.76206961077844,28.01,No
 60 months,MORTGAGE,E,debt_consolidation,23.40%,CA,Current,Individual,20000,8 years,249000,13.35,0,38.30%,12512,48,0,null, 60 ,8,38,43.76206961077844,13.35,No
 36 months,MORTGAGE,A,debt_consolidation,8.19%,CA,Current,Individual,15000,1 year,155000,14.76,0,50.80%,22151,21,0,null, 36 ,1,50,43.76206961077844,14.76,No
 36 months,MORTGAGE,B,credit_card,11.31%,AZ,Current,Joint App,35000,2 years,82000,11.55,0,57.20%,9779,14,0,13.8, 36 ,2,57,43.76206961077844,11.55,No
 36 months,MORTGAGE,C,other,16.91%,CA,Fully Paid,Individual,3000,10+ years,72000,9.03,0,33.30%,4098,18,0,null, 36 ,10,33,43.76206961077844,9.03,No
 36 months,RENT,C,debt_consolidation,15.02%,VA,Current,Individual,8000,2 years,27000,9.96,0,78%,4995,5,0,null, 36 ,2,78,43.76206961077844,9.96,No
 60 months,OWN,D,debt_consolidation,17.97%,OH,Current,Individual,10800,10+ years,32500,24.15,0,59.10%,7800,14,0,null, 60 ,10,59,43.76206961077844,24.15,No
 36 months,MORTGAGE,A,credit_card,8.81%,NH,Current,Individual,9000,3 years,83000,5.61,0,66%,10631,8,0,null, 36 ,3,66,43.76206961077844,5.61,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,TX,Current,Individual,12000,10+ years,68000,12.34,0,58%,14686,16,0,null, 60 ,10,58,43.76206961077844,12.34,No
 36 months,MORTGAGE,B,home_improvement,11.31%,VT,Current,Individual,2500,< 1 year,58109,30.21,0,18.90%,8235,22,0,null, 36 ,1,18,43.76206961077844,30.21,No
 36 months,RENT,D,other,18.94%,FL,Fully Paid,Individual,6000,10+ years,68000,34.86,1,13.20%,1661,31,1,null, 36 ,10,13,43.76206961077844,34.86,No
 36 months,MORTGAGE,B,debt_consolidation,11.06%,AL,Current,Individual,5000,10+ years,40000,12.24,0,57.30%,5272,25,0,null, 36 ,10,57,43.76206961077844,12.24,No
 36 months,OWN,C,other,13.56%,NC,Current,Individual,18150,6 years,33000,33.6,0,11.60%,4109,34,0,null, 36 ,6,11,43.76206961077844,33.6,No
 36 months,RENT,D,credit_card,20.89%,OH,Current,Individual,20000,10+ years,75000,31.74,0,76.50%,31306,33,0,null, 36 ,10,76,43.76206961077844,31.74,No
 36 months,RENT,C,debt_consolidation,14.47%,NV,Current,Individual,6000,4 years,110000,27.49,0,40.80%,10857,42,0,null, 36 ,4,40,43.76206961077844,27.49,No
 36 months,RENT,B,debt_consolidation,11.31%,AZ,Current,Individual,10000,2 years,27000,22.31,0,40.60%,4751,7,0,null, 36 ,2,40,43.76206961077844,22.31,No
 36 months,RENT,A,credit_card,7.02%,FL,Current,Individual,5000,1 year,45000,3.12,0,54.90%,3566,6,0,null, 36 ,1,54,43.76206961077844,3.12,No
 36 months,MORTGAGE,B,debt_consolidation,10.33%,GA,Current,Individual,30000,10+ years,119041,34.55,0,67.80%,31869,52,0,null, 36 ,10,67,43.76206961077844,34.55,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,OH,Current,Individual,24800,10+ years,93000,26.48,0,25.70%,25455,49,0,null, 60 ,10,25,43.76206961077844,26.48,No
 60 months,RENT,B,debt_consolidation,12.98%,MD,Current,Joint App,28000,5 years,32000,1.5,0,24.30%,4131,3,0,14.16, 60 ,5,24,43.76206961077844,1.5,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,IL,Current,Individual,30000,< 1 year,110000,21.69,0,61.40%,19970,36,0,null, 60 ,1,61,43.76206961077844,21.69,No
 36 months,RENT,A,debt_consolidation,6.46%,FL,Current,Individual,25000,3 years,65000,8.22,0,52.30%,22787,18,0,null, 36 ,3,52,43.76206961077844,8.22,No
 60 months,RENT,B,credit_card,10.33%,UT,Current,Individual,25000,4 years,107000,11.05,0,8.10%,3339,17,0,null, 60 ,4,8,43.76206961077844,11.05,No
 36 months,RENT,A,medical,7.02%,CA,Current,Individual,12000,10+ years,110000,9.48,0,16.60%,10731,27,0,null, 36 ,10,16,43.76206961077844,9.48,No
 36 months,RENT,B,credit_card,11.31%,IL,Current,Individual,15000,1 year,57000,13.35,0,84%,14701,4,0,null, 36 ,1,84,43.76206961077844,13.35,No
 36 months,MORTGAGE,A,other,7.02%,NJ,Current,Joint App,5000,10+ years,50000,17.57,0,19%,3097,17,0,13.13, 36 ,10,19,43.76206961077844,17.57,No
 36 months,MORTGAGE,A,credit_card,7.02%,CT,Current,Individual,15000,< 1 year,45000,18.61,0,27.20%,14955,14,0,null, 36 ,1,27,43.76206961077844,18.61,No
 36 months,RENT,A,debt_consolidation,7.21%,CO,Current,Individual,20000,< 1 year,183000,1.6,0,39.10%,12293,6,0,null, 36 ,1,39,43.76206961077844,1.6,No
 36 months,OWN,C,other,13.56%,AZ,Current,Individual,5000,n/a,22846,21.54,1,2.90%,390,10,0,null, 36 ,,2,43.76206961077844,21.54,No
 60 months,OWN,D,medical,18.94%,MD,Current,Individual,12000,6 years,65000,29.67,0,12%,6097,31,0,null, 60 ,6,12,43.76206961077844,29.67,No
 60 months,MORTGAGE,A,credit_card,8.19%,CO,Current,Joint App,23500,< 1 year,37450,37.72,0,30.60%,7797,27,0,25.87, 60 ,1,30,43.76206961077844,37.72,No
 36 months,RENT,A,credit_card,7.02%,CA,Current,Individual,8000,10+ years,50000,6.36,0,64.10%,5382,9,0,null, 36 ,10,64,43.76206961077844,6.36,No
 36 months,RENT,A,debt_consolidation,8.81%,OH,Current,Individual,6000,10+ years,35000,5.8,0,35.50%,5685,10,0,null, 36 ,10,35,43.76206961077844,5.8,No
